country_code,pre_rmspe,post_rmspe,rmspe_ratio,is_treated
UZB,0.7686824067766883,51.57259211479329,67.09219784416864,False
AZE,2.728952814708701,149.3242437041643,54.71851433243039,False
GEO,1.3753325667761054,45.638354492687036,33.18350455386013,False
KAZ,2.385819529698254,72.73616973586712,30.48686995410186,False
ALB,4.599468042077271,115.03675487306214,25.01088252395113,False
KGZ,1.5600510373694778,25.472929114969883,16.328266514871046,False
POL,0.4313988241383127,6.5905597802172196,15.277185313106441,True
MKD,2.371709785636456,35.96014360888055,15.162117990431334,False
ARM,4.59485421198858,56.38451326679623,12.271230090321822,False
UKR,4.0222285763205505,44.73354020857202,11.121580825099034,False
SRB,3.307955104269351,31.812533425620096,9.61697859337989,False
MDA,6.417824480856888,31.1543704681966,4.854350654357092,False
TUR,4.120381573746325,10.947006477221171,2.6567943481185785,False
BIH,80.92935481033736,79.18512517179838,0.9784475034722977,False
